Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,γPmax,αIsc,βVoc,αIpmax,βVpmax,"IPmax, low","VPmax, low","IPmax, NOCT","VPmax, NOCT",Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STC_Efficiency
"Phono Solar Technology Co.,Ltd.",PS435M5GF-24/TH,"435 W, 144 half-cut cell bifacial monocrystalline module, 1000V max system Vdc",UL 61730,435,406.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.18,49.5,10.50,41.4,44.2,-0.350,0.046,-0.266,,,2.08,39.91,8.27,38.8,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.14%
"Phono Solar Technology Co.,Ltd.",PS435M5GFH-24/TH,"435 W, 144 half-cut cell bifacial monocrystalline module, 1500V max system Vdc",UL 61730,435,406.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.18,49.5,10.50,41.4,44.2,-0.350,0.046,-0.266,,,2.08,39.91,8.27,38.8,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.14%
"Phono Solar Technology Co.,Ltd.",PS440M5GF-24/TH,"440 W, 144 half-cut cell bifacial monocrystalline module, 1000V max system Vdc",UL 61730,440,411.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.24,49.5,10.60,41.5,44.2,-0.350,0.046,-0.266,,,2.10,39.98,8.35,38.9,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37%
"Phono Solar Technology Co.,Ltd.",PS440M5GFH-24/TH,"440 W, 144 half-cut cell bifacial monocrystalline module, 1500V max system Vdc",UL 61730,440,411.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.24,49.5,10.60,41.5,44.2,-0.350,0.046,-0.266,,,2.10,39.98,8.35,38.9,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37%
"Phono Solar Technology Co.,Ltd.",PS445M5GF-24/TH,"445 W, 144 half-cut cell bifacial monocrystalline module, 1000V max system Vdc",UL 61730,445,416.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.30,49.6,10.70,41.6,44.2,-0.350,0.046,-0.266,,,2.12,40.06,8.42,38.9,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.60%
"Phono Solar Technology Co.,Ltd.",PS445M5GFH-24/TH,"445 W, 144 half-cut cell bifacial monocrystalline module, 1500V max system Vdc",UL 61730,445,416.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.30,49.6,10.70,41.6,44.2,-0.350,0.046,-0.266,,,2.12,40.06,8.42,38.9,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.60%
"Phono Solar Technology Co.,Ltd.",PS450M5GF-24/TH,"450 W, 144 half-cut cell bifacial monocrystalline module, 1000V max system Vdc",UL 61730,450,421.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.36,49.6,10.80,41.7,44.2,-0.350,0.046,-0.266,,,2.14,40.14,8.50,39.0,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83%
"Phono Solar Technology Co.,Ltd.",PS450M5GFH-24/TH,"450 W, 144 half-cut cell bifacial monocrystalline module, 1500V max system Vdc",UL 61730,450,421.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.36,49.6,10.80,41.7,44.2,-0.350,0.046,-0.266,,,2.14,40.14,8.50,39.0,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83%
"Phono Solar Technology Co.,Ltd.",PS455M5GF-24/TH,"455 W, 144 half-cut cell bifacial monocrystalline module, 1000V max system Vdc",UL 61730,455,426.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.42,49.7,10.90,41.8,44.2,-0.350,0.046,-0.266,,,2.16,40.21,8.58,39.1,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.06%
"Phono Solar Technology Co.,Ltd.",PS455M5GFH-24/TH,"455 W, 144 half-cut cell bifacial monocrystalline module, 1500V max system Vdc",UL 61730,455,426.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,2.16,72,2,Y,11.42,49.7,10.90,41.8,44.2,-0.350,0.046,-0.266,,,2.16,40.21,8.58,39.1,,,,,,,2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.06%
